Expense Code,Expense Amount (SAR),Month,Expense Quantity,Government Entity
13593,7.32,5/1/2018,3500,Ministry of Housing
13878,1.13,4/1/2017,3285,Ministry of Housing
13878,1.13,7/1/2017,2190,Ministry of Housing
13878,1.13,10/1/2017,657,Ministry of Housing
13878,1.13,4/1/2018,6570,Ministry of Housing
13878,1.13,1/1/2018,657,Ministry of Housing
13965,7.85,6/1/2017,414,Ministry of Housing
13965,7.85,10/1/2017,345,Ministry of Housing
13965,7.85,3/1/2018,69,Ministry of Housing
14053,10.92,11/1/2017,500,Ministry of Housing
14053,10.92,2/1/2018,900,Ministry of Housing
14053,10.92,3/1/2018,300,Ministry of Housing
14053,10.92,5/1/2018,500,Ministry of Housing
14053,10.92,5/1/2017,600,Ministry of Housing
14440,4.56,8/1/2017,600,Ministry of Housing
14440,4.56,9/1/2017,900,Ministry of Housing
14618,9.19,8/1/2017,48000,Ministry of Housing
14788,6.12,11/1/2017,25299,Ministry of Energy
14788,6.12,7/1/2017,16866,Ministry of Energy
14788,6.12,9/1/2017,42165,Ministry of Energy
14788,6.12,1/1/2018,28110,Ministry of Energy
14788,6.12,8/1/2017,28110,Ministry of Energy
14788,6.12,2/1/2018,33732,Ministry of Energy
14788,6.12,5/1/2018,59031,Ministry of Energy
14788,6.12,11/1/2017,900,Ministry of Housing
14788,6.12,7/1/2017,1800,Ministry of Housing
14788,6.12,9/1/2017,4500,Ministry of Housing
14788,6.12,1/1/2018,4050,Ministry of Housing
14788,6.12,8/1/2017,12150,Ministry of Housing
14788,6.12,2/1/2018,3150,Ministry of Housing
14788,6.12,5/1/2018,9450,Ministry of Housing
15236,7.31,2/1/2018,10,Ministry of Housing
15236,7.31,8/1/2017,60,Ministry of Housing
15236,7.31,11/1/2017,300,Ministry of Housing
15236,7.31,7/1/2017,300,Ministry of Housing
15236,7.31,1/1/2018,40,Ministry of Housing
15236,7.31,5/1/2018,140,Ministry of Housing
15236,7.31,9/1/2017,140,Ministry of Housing
15236,7.31,10/1/2017,60,Ministry of Education
15550,1.52,4/1/2017,1004,Ministry of Housing
15550,1.52,11/1/2017,2008,Ministry of Housing
15550,1.52,6/1/2017,3012,Ministry of Housing
15550,1.52,7/1/2017,1506,Ministry of Housing
15550,1.52,10/1/2017,2008,Ministry of Housing
15550,1.52,9/1/2017,3514,Ministry of Housing
15550,1.52,12/1/2017,502,Ministry of Housing
15550,1.52,8/1/2017,502,Ministry of Housing
15550,1.52,2/1/2018,502,Ministry of Housing
15550,1.52,4/1/2018,753,Ministry of Housing
15550,1.52,1/1/2018,2510,Ministry of Housing
15550,1.52,3/1/2018,2510,Ministry of Housing
15550,1.52,5/1/2018,5271,Ministry of Housing
15550,1.52,5/1/2017,502,Ministry of Housing
16058,6.52,6/1/2017,5,Ministry of Housing
16703,1.94,6/1/2017,2550,Ministry of Health
16703,1.94,8/1/2017,850,Ministry of Health
16703,1.94,12/1/2017,2975,Ministry of Health
16703,1.94,9/1/2017,11475,Ministry of Health
16703,1.94,6/1/2017,1728,Ministry of Housing
16703,1.94,10/1/2017,768,Ministry of Housing
16703,1.94,3/1/2018,288,Ministry of Housing
16877,8.57,11/1/2017,1482,Ministry of Health
16877,8.57,2/1/2018,14820,Ministry of Health
16877,8.57,5/1/2018,5928,Ministry of Health
16877,8.57,6/1/2017,400,Ministry of Housing
16877,8.57,12/1/2017,3000,Ministry of Housing
17475,4.15,11/1/2017,2010,Ministry of Housing
17475,4.15,2/1/2018,603,Ministry of Housing
17475,4.15,5/1/2018,1005,Ministry of Housing
17617,6.79,6/1/2017,208,Ministry of Housing
17617,6.79,10/1/2017,52,Ministry of Housing
17617,6.79,3/1/2018,351,Ministry of Housing
17738,10.02,2/1/2018,268,Ministry of Housing
17838,7.15,9/1/2017,7074,Ministry of Housing
17838,7.15,12/1/2017,1804,Ministry of Housing
17838,7.15,4/1/2018,5154,Ministry of Housing
17838,7.15,4/1/2017,24510,Ministry of Housing
17838,7.15,7/1/2017,727,Ministry of Housing
17838,7.15,8/1/2017,4630,Ministry of Housing
17838,7.15,5/1/2018,5340,Ministry of Housing
17838,7.15,11/1/2017,4732,Ministry of Housing
17838,7.15,6/1/2017,5070,Ministry of Housing
17838,7.15,2/1/2018,1902,Ministry of Housing
17838,7.15,1/1/2018,774,Ministry of Housing
17838,7.15,10/1/2017,948,Ministry of Housing
17956,8.06,11/1/2017,2031,Ministry of Housing
17956,8.06,7/1/2017,5416,Ministry of Housing
17956,8.06,9/1/2017,5416,Ministry of Housing
17956,8.06,2/1/2018,1354,Ministry of Housing
17956,8.06,8/1/2017,10155,Ministry of Housing
17956,8.06,1/1/2018,6093,Ministry of Housing
17956,8.06,5/1/2018,2031,Ministry of Housing
18438,4.49,7/1/2017,23240,Ministry of Education
18438,4.49,2/1/2018,8715,Ministry of Education
18438,4.49,9/1/2017,5810,Ministry of Education
18438,4.49,10/1/2017,1308,Ministry of Energy
18438,4.49,6/1/2017,3488,Ministry of Energy
18438,4.49,4/1/2017,3924,Ministry of Energy
18438,4.49,5/1/2017,4360,Ministry of Energy
18438,4.49,4/1/2018,5232,Ministry of Energy
18438,4.49,3/1/2018,9156,Ministry of Energy
18438,4.49,12/1/2017,872,Ministry of Energy
18438,4.49,4/1/2017,5397,Ministry of Housing
18438,4.49,10/1/2017,1542,Ministry of Housing
18438,4.49,7/1/2017,1285,Ministry of Housing
18438,4.49,11/1/2017,2570,Ministry of Housing
18438,4.49,5/1/2017,5397,Ministry of Housing
18438,4.49,8/1/2017,771,Ministry of Housing
18438,4.49,1/1/2018,3084,Ministry of Housing
18438,4.49,2/1/2018,3084,Ministry of Housing
18438,4.49,4/1/2018,5397,Ministry of Housing
18438,4.49,3/1/2018,2056,Ministry of Housing
18438,4.49,12/1/2017,5397,Ministry of Housing
18438,4.49,5/1/2018,2313,Ministry of Housing
18438,4.49,6/1/2017,6168,Ministry of Housing
18438,4.49,9/1/2017,771,Ministry of Housing
18495,3.86,7/1/2017,36,Ministry of Housing
18495,3.86,1/1/2018,63,Ministry of Housing
18535,2.13,6/1/2017,4886,Ministry of Housing
18535,2.13,10/1/2017,6282,Ministry of Housing
18535,2.13,3/1/2018,4188,Ministry of Housing
18689,6.44,6/1/2017,3640,Ministry of Housing
18689,6.44,12/1/2017,21840,Ministry of Housing
19022,2.43,6/1/2017,6810,Ministry of Housing
19022,2.43,12/1/2017,14301,Ministry of Housing
19022,2.43,9/1/2017,1362,Ministry of Housing
19022,2.43,8/1/2017,9534,Ministry of Housing
19075,4.58,4/1/2017,162,Ministry of Education
19075,4.58,5/1/2017,18,Ministry of Education
19075,4.58,12/1/2017,270,Ministry of Education
19075,4.58,4/1/2018,36,Ministry of Education
19075,4.58,11/1/2017,162,Ministry of Housing
19075,4.58,7/1/2017,36,Ministry of Housing
19075,4.58,8/1/2017,18,Ministry of Housing
19075,4.58,1/1/2018,216,Ministry of Housing
19075,4.58,2/1/2018,27,Ministry of Housing
19075,4.58,5/1/2018,45,Ministry of Housing
19075,4.58,9/1/2017,18,Ministry of Housing
19289,9.42,7/1/2017,78,Ministry of Housing
19289,9.42,11/1/2017,1638,Ministry of Housing
19289,9.42,9/1/2017,468,Ministry of Housing
19289,9.42,8/1/2017,1404,Ministry of Housing
19289,9.42,2/1/2018,780,Ministry of Housing
19289,9.42,1/1/2018,468,Ministry of Housing
19289,9.42,5/1/2018,390,Ministry of Housing
19396,6.34,4/1/2017,80,Ministry of Housing
19396,6.34,10/1/2017,160,Ministry of Housing
19396,6.34,4/1/2018,1080,Ministry of Housing
19442,5.68,11/1/2017,10496,Ministry of Energy
19442,5.68,7/1/2017,7872,Ministry of Energy
19442,5.68,8/1/2017,5248,Ministry of Energy
19442,5.68,1/1/2018,6560,Ministry of Energy
19442,5.68,2/1/2018,11808,Ministry of Energy
19442,5.68,5/1/2018,11808,Ministry of Energy
19442,5.68,9/1/2017,10496,Ministry of Energy
19442,5.68,8/1/2017,200,Ministry of Housing
19442,5.68,1/1/2018,500,Ministry of Housing
19442,5.68,11/1/2017,,Ministry of Housing
19442,5.68,7/1/2017,1050,Ministry of Housing
19442,5.68,2/1/2018,1000,Ministry of Housing
19442,5.68,5/1/2018,200,Ministry of Housing
19442,5.68,9/1/2017,450,Ministry of Housing
19447,8.57,7/1/2017,2706,Ministry of Energy
19447,8.57,4/1/2017,8700,Ministry of Energy
19447,8.57,4/1/2018,5220,Ministry of Energy
19447,8.57,5/1/2017,3996,Ministry of Energy
19447,8.57,12/1/2017,1200,Ministry of Energy
19447,8.57,1/1/2018,594,Ministry of Energy
19447,8.57,10/1/2017,3564,Ministry of Energy
19447,8.57,11/1/2017,1650,Ministry of Energy
19447,8.57,5/1/2018,1650,Ministry of Energy
19447,8.57,2/1/2018,3168,Ministry of Energy
19447,8.57,6/1/2017,1696,Ministry of Energy
19447,8.57,9/1/2017,830,Ministry of Energy
19447,8.57,3/1/2018,66,Ministry of Energy
19447,8.57,11/1/2017,333,Ministry of Housing
19447,8.57,7/1/2017,777,Ministry of Housing
19447,8.57,8/1/2017,888,Ministry of Housing
19447,8.57,1/1/2018,74,Ministry of Housing
19447,8.57,2/1/2018,259,Ministry of Housing
19447,8.57,5/1/2018,999,Ministry of Housing
19447,8.57,9/1/2017,37,Ministry of Housing
19447,8.57,8/1/2017,72,Ministry of Energy
19449,4.55,7/1/2017,7010,Ministry of Energy
19449,4.55,2/1/2018,4206,Ministry of Energy
19449,4.55,9/1/2017,12618,Ministry of Energy
19449,4.55,5/1/2017,219,Ministry of Housing
19449,4.55,4/1/2017,1460,Ministry of Housing
19449,4.55,10/1/2017,73,Ministry of Housing
19449,4.55,4/1/2018,1752,Ministry of Housing
19449,4.55,3/1/2018,1460,Ministry of Housing
19449,4.55,12/1/2017,73,Ministry of Housing
19449,4.55,6/1/2017,876,Ministry of Housing
19650,7.79,2/1/2018,300,Ministry of Housing
19778,3.78,2/1/2018,150,Ministry of Housing
19849,2.8,8/1/2017,1782,Ministry of Housing
19849,2.8,1/1/2018,99,Ministry of Housing
19849,2.8,11/1/2017,792,Ministry of Housing
19849,2.8,7/1/2017,198,Ministry of Housing
19849,2.8,2/1/2018,2079,Ministry of Housing
19849,2.8,5/1/2018,495,Ministry of Housing
19849,2.8,9/1/2017,1584,Ministry of Housing
19851,4.36,8/1/2017,8064,Ministry of Housing
19851,4.36,1/1/2018,4032,Ministry of Housing
19851,4.36,11/1/2017,9408,Ministry of Housing
19851,4.36,7/1/2017,1344,Ministry of Housing
19851,4.36,2/1/2018,5376,Ministry of Housing
19851,4.36,5/1/2018,12096,Ministry of Housing
19851,4.36,9/1/2017,10752,Ministry of Housing
19851,4.36,7/1/2017,6000,Ministry of Energy
19862,8.46,6/1/2017,400,Ministry of Housing
20022,1.19,6/1/2017,225,Ministry of Housing
20078,7.96,11/1/2017,5364,Ministry of Energy
20078,7.96,7/1/2017,2980,Ministry of Energy
20078,7.96,8/1/2017,4172,Ministry of Energy
20078,7.96,1/1/2018,894,Ministry of Energy
20078,7.96,2/1/2018,2086,Ministry of Energy
20078,7.96,5/1/2018,3576,Ministry of Energy
20078,7.96,9/1/2017,6258,Ministry of Energy
20078,7.96,7/1/2017,171,Ministry of Housing
20078,7.96,4/1/2017,152,Ministry of Housing
20078,7.96,1/1/2018,38,Ministry of Housing
20078,7.96,4/1/2018,57,Ministry of Housing
20078,7.96,10/1/2017,114,Ministry of Housing
20081,8.13,12/1/2017,4563,Ministry of Energy
20081,8.13,1/1/2018,1188,Ministry of Energy
20081,8.13,8/1/2017,2190,Ministry of Energy
20081,8.13,2/1/2018,3626,Ministry of Energy
20081,8.13,7/1/2017,908,Ministry of Energy
20081,8.13,6/1/2017,3180,Ministry of Energy
20081,8.13,4/1/2018,688,Ministry of Energy
20081,8.13,5/1/2017,644,Ministry of Energy
20081,8.13,4/1/2017,530,Ministry of Energy
20081,8.13,10/1/2017,432,Ministry of Energy
20081,8.13,5/1/2018,136,Ministry of Energy
20081,8.13,11/1/2017,594,Ministry of Housing
20081,8.13,8/1/2017,396,Ministry of Housing
20081,8.13,1/1/2018,495,Ministry of Housing
20081,8.13,5/1/2018,198,Ministry of Housing
20081,8.13,11/1/2017,252,Ministry of Energy
20081,8.13,3/1/2018,48,Ministry of Energy
20086,9.33,7/1/2017,2700,Ministry of Housing
20086,9.33,11/1/2017,1200,Ministry of Housing
20086,9.33,8/1/2017,900,Ministry of Housing
20086,9.33,1/1/2018,300,Ministry of Housing
20086,9.33,2/1/2018,700,Ministry of Housing
20086,9.33,5/1/2018,600,Ministry of Housing
20086,9.33,9/1/2017,400,Ministry of Housing
20363,8,7/1/2017,1674,Ministry of Energy
20363,8,11/1/2017,744,Ministry of Energy
20363,8,2/1/2018,930,Ministry of Energy
20363,8,8/1/2017,248,Ministry of Energy
20363,8,1/1/2018,992,Ministry of Energy
20363,8,5/1/2018,620,Ministry of Energy
20363,8,9/1/2017,248,Ministry of Energy
20363,8,7/1/2017,288,Ministry of Housing
20363,8,2/1/2018,432,Ministry of Housing
20363,8,9/1/2017,384,Ministry of Housing
20384,10.69,8/1/2017,136,Ministry of Education
20384,10.69,6/1/2017,102,Ministry of Education
20384,10.69,12/1/2017,136,Ministry of Education
20384,10.69,9/1/2017,102,Ministry of Education
20384,10.69,6/1/2017,270,Ministry of Housing
20384,10.69,8/1/2017,135,Ministry of Housing
20384,10.69,12/1/2017,150,Ministry of Housing
20384,10.69,9/1/2017,240,Ministry of Housing
20419,2.32,6/1/2017,3630,Ministry of Housing
20419,2.32,12/1/2017,1452,Ministry of Housing
20517,6.19,8/1/2017,32076,Ministry of Energy
20517,6.19,1/1/2018,48114,Ministry of Energy
20517,6.19,7/1/2017,24948,Ministry of Energy
20517,6.19,11/1/2017,28512,Ministry of Energy
20517,6.19,2/1/2018,21384,Ministry of Energy
20517,6.19,5/1/2018,3564,Ministry of Energy
20517,6.19,9/1/2017,10692,Ministry of Energy
20517,6.19,1/1/2018,19500,Ministry of Housing
20517,6.19,7/1/2017,11700,Ministry of Housing
20524,4.29,10/1/2017,666,Ministry of Housing
20524,4.29,6/1/2017,888,Ministry of Housing
20524,4.29,3/1/2018,222,Ministry of Housing
20561,6.61,5/1/2017,130,Ministry of Housing
20561,6.61,4/1/2017,195,Ministry of Housing
20561,6.61,4/1/2018,260,Ministry of Housing
20561,6.61,12/1/2017,52,Ministry of Housing
20561,6.61,5/1/2017,162,Ministry of Education
20561,6.61,3/1/2018,162,Ministry of Education
20591,4.87,10/1/2017,3160,Ministry of Housing
20591,4.87,4/1/2017,2844,Ministry of Housing
20591,4.87,5/1/2017,632,Ministry of Housing
20591,4.87,4/1/2018,2212,Ministry of Housing
20591,4.87,12/1/2017,1896,Ministry of Housing
20591,4.87,3/1/2018,474,Ministry of Housing
20591,4.87,6/1/2017,474,Ministry of Housing
20603,2.87,6/1/2017,300,Ministry of Housing
20691,3.62,5/1/2017,6610,Ministry of Energy
20691,3.62,7/1/2017,13881,Ministry of Energy
20691,3.62,4/1/2017,3966,Ministry of Energy
20691,3.62,11/1/2017,11898,Ministry of Energy
20691,3.62,4/1/2018,5288,Ministry of Energy
20691,3.62,8/1/2017,7932,Ministry of Energy
20691,3.62,1/1/2018,9915,Ministry of Energy
20691,3.62,2/1/2018,7932,Ministry of Energy
20691,3.62,10/1/2017,11898,Ministry of Energy
20691,3.62,12/1/2017,1983,Ministry of Energy
20691,3.62,3/1/2018,13220,Ministry of Energy
20691,3.62,5/1/2018,5949,Ministry of Energy
20691,3.62,6/1/2017,7932,Ministry of Energy
20691,3.62,9/1/2017,3305,Ministry of Energy
20691,3.62,10/1/2017,11340,Ministry of Housing
20749,2.32,2/1/2018,8645,Ministry of Education
20749,2.32,8/1/2017,20748,Ministry of Education
20749,2.32,1/1/2018,17290,Ministry of Education
20749,2.32,11/1/2017,3458,Ministry of Education
20749,2.32,7/1/2017,25935,Ministry of Education
20749,2.32,5/1/2018,31122,Ministry of Education
20749,2.32,9/1/2017,15561,Ministry of Education
20749,2.32,8/1/2017,698,Ministry of Energy
20749,2.32,7/1/2017,1803,Ministry of Energy
20749,2.32,10/1/2017,6948,Ministry of Energy
20749,2.32,5/1/2017,8384,Ministry of Energy
20749,2.32,1/1/2018,3668,Ministry of Energy
20749,2.32,11/1/2017,9504,Ministry of Energy
20749,2.32,5/1/2018,1584,Ministry of Energy
20749,2.32,9/1/2017,3465,Ministry of Energy
20749,2.32,6/1/2017,1137,Ministry of Energy
20749,2.32,12/1/2017,9396,Ministry of Energy
20749,2.32,2/1/2018,280,Ministry of Energy
20749,2.32,3/1/2018,1060,Ministry of Energy
20749,2.32,4/1/2017,2090,Ministry of Energy
20749,2.32,4/1/2018,5016,Ministry of Energy
20749,2.32,6/1/2017,324,Ministry of Housing
20749,2.32,4/1/2017,216,Ministry of Housing
20749,2.32,5/1/2017,1080,Ministry of Housing
20749,2.32,4/1/2018,1080,Ministry of Housing
20749,2.32,10/1/2017,1728,Ministry of Housing
20749,2.32,12/1/2017,1080,Ministry of Housing
20749,2.32,3/1/2018,2592,Ministry of Housing
20865,4.52,9/1/2017,378,Ministry of Housing
20866,8.24,8/1/2017,378,Ministry of Housing
20866,8.24,9/1/2017,588,Ministry of Housing
21070,10.63,8/1/2017,284,Ministry of Housing
21070,10.63,7/1/2017,1704,Ministry of Housing
21070,10.63,11/1/2017,639,Ministry of Housing
21070,10.63,1/1/2018,1917,Ministry of Housing
21070,10.63,2/1/2018,1065,Ministry of Housing
21070,10.63,5/1/2018,1704,Ministry of Housing
21070,10.63,9/1/2017,142,Ministry of Housing
21109,5.67,7/1/2017,606,Ministry of Energy
21109,5.67,11/1/2017,1010,Ministry of Energy
21109,5.67,8/1/2017,404,Ministry of Energy
21109,5.67,1/1/2018,909,Ministry of Energy
21109,5.67,2/1/2018,1616,Ministry of Energy
21109,5.67,5/1/2018,404,Ministry of Energy
21109,5.67,9/1/2017,202,Ministry of Energy
21109,5.67,6/1/2017,198,Ministry of Housing
21109,5.67,4/1/2017,44,Ministry of Housing
21109,5.67,11/1/2017,330,Ministry of Housing
21109,5.67,7/1/2017,99,Ministry of Housing
21109,5.67,5/1/2017,22,Ministry of Housing
21109,5.67,8/1/2017,88,Ministry of Housing
21109,5.67,1/1/2018,297,Ministry of Housing
21109,5.67,2/1/2018,22,Ministry of Housing
21109,5.67,4/1/2018,66,Ministry of Housing
21109,5.67,10/1/2017,176,Ministry of Housing
21109,5.67,12/1/2017,66,Ministry of Housing
21109,5.67,3/1/2018,77,Ministry of Housing
21109,5.67,5/1/2018,22,Ministry of Housing
21109,5.67,9/1/2017,66,Ministry of Housing
21117,7.24,11/1/2017,522,Ministry of Energy
21117,7.24,7/1/2017,1566,Ministry of Energy
21117,7.24,8/1/2017,261,Ministry of Energy
21117,7.24,1/1/2018,2610,Ministry of Energy
21117,7.24,2/1/2018,3915,Ministry of Energy
21117,7.24,5/1/2018,4176,Ministry of Energy
21117,7.24,9/1/2017,5220,Ministry of Energy
21117,7.24,6/1/2017,549,Ministry of Housing
21117,7.24,4/1/2017,915,Ministry of Housing
21117,7.24,11/1/2017,1098,Ministry of Housing
21117,7.24,7/1/2017,61,Ministry of Housing
21117,7.24,5/1/2017,854,Ministry of Housing
21117,7.24,8/1/2017,1281,Ministry of Housing
21117,7.24,1/1/2018,183,Ministry of Housing
21117,7.24,2/1/2018,366,Ministry of Housing
21117,7.24,4/1/2018,1098,Ministry of Housing
21117,7.24,10/1/2017,1098,Ministry of Housing
21117,7.24,12/1/2017,549,Ministry of Housing
21117,7.24,3/1/2018,915,Ministry of Housing
21117,7.24,5/1/2018,549,Ministry of Housing
21117,7.24,9/1/2017,549,Ministry of Housing
21197,6.78,6/1/2017,900,Ministry of Housing
21314,2.94,7/1/2017,26306,Ministry of Energy
21314,2.94,5/1/2017,2806,Ministry of Energy
21314,2.94,1/1/2018,9536,Ministry of Energy
21314,2.94,8/1/2017,11928,Ministry of Energy
21314,2.94,3/1/2018,4300,Ministry of Energy
21314,2.94,12/1/2017,4018,Ministry of Energy
21314,2.94,2/1/2018,5420,Ministry of Energy
21314,2.94,4/1/2018,3798,Ministry of Energy
21314,2.94,6/1/2017,609,Ministry of Energy
21314,2.94,5/1/2018,1000,Ministry of Energy
21314,2.94,10/1/2017,2220,Ministry of Energy
21314,2.94,4/1/2017,1256,Ministry of Energy
21314,2.94,11/1/2017,2384,Ministry of Energy
21314,2.94,9/1/2017,1644,Ministry of Energy
21314,2.94,12/1/2017,1600,Ministry of Education
21314,2.94,5/1/2017,64,Ministry of Housing
21314,2.94,11/1/2017,168,Ministry of Housing
21314,2.94,2/1/2018,80,Ministry of Housing
21314,2.94,3/1/2018,72,Ministry of Housing
21314,2.94,5/1/2018,72,Ministry of Housing
21315,9.09,11/1/2017,3988,Ministry of Health
21315,9.09,7/1/2017,1994,Ministry of Health
21315,9.09,8/1/2017,26919,Ministry of Health
21315,9.09,1/1/2018,17946,Ministry of Health
21315,9.09,2/1/2018,7976,Ministry of Health
21315,9.09,5/1/2018,5982,Ministry of Health
21315,9.09,9/1/2017,20937,Ministry of Health
21315,9.09,11/1/2017,11952,Ministry of Energy
21315,9.09,7/1/2017,7968,Ministry of Energy
21315,9.09,8/1/2017,5976,Ministry of Energy
21315,9.09,1/1/2018,7968,Ministry of Energy
21315,9.09,2/1/2018,5976,Ministry of Energy
21315,9.09,5/1/2018,8964,Ministry of Energy
21315,9.09,9/1/2017,1992,Ministry of Energy
21315,9.09,7/1/2017,874,Ministry of Housing
21315,9.09,11/1/2017,5244,Ministry of Housing
21315,9.09,8/1/2017,4370,Ministry of Housing
21315,9.09,1/1/2018,6118,Ministry of Housing
21315,9.09,2/1/2018,3496,Ministry of Housing
21315,9.09,5/1/2018,9177,Ministry of Housing
21315,9.09,9/1/2017,9177,Ministry of Housing
21320,0.93,11/1/2017,1524,Ministry of Energy
21320,0.93,7/1/2017,1905,Ministry of Energy
21320,0.93,8/1/2017,508,Ministry of Energy
21320,0.93,1/1/2018,508,Ministry of Energy
21320,0.93,2/1/2018,1143,Ministry of Energy
21320,0.93,5/1/2018,1143,Ministry of Energy
21320,0.93,9/1/2017,889,Ministry of Energy
21320,0.93,4/1/2017,406,Ministry of Housing
21320,0.93,5/1/2017,406,Ministry of Housing
21320,0.93,4/1/2018,261,Ministry of Housing
21320,0.93,10/1/2017,116,Ministry of Housing
