"Expense Code,Month,Expense Quantity,Government Entity",
"11806,43132,13509,Ministry of Energy",
"11806,43160,27018,Ministry of Energy",
"11806,43221,3002,Ministry of Energy",
"11806,42856,3002,Ministry of Energy",
"11816,42887,8000,Ministry of Energy",
"11825,42887,32,Ministry of Education",
"11825,43009,8,Ministry of Education",
"11825,43160,56,Ministry of Education",
"11829,42887,48,Ministry of Health",
"11829,43070,12,Ministry of Health",
"11830,42887,252,Ministry of Health",
"11830,43070,120,Ministry of Health",
"11831,42887,504,Ministry of Health",
"11831,43070,84,Ministry of Health",
"11850,42979,1160,Ministry of Education",
"11850,42948,1160,Ministry of Education",
"11861,42887,632,Ministry of Health",
"11861,43009,237,Ministry of Health",
"11861,43160,948,Ministry of Health",
"11872,42917,10,Ministry of Education",
"11872,42979,20,Ministry of Education",
"11872,43132,20,Ministry of Education",
"11878,42887,32,Ministry of Health",
"11878,43070,24,Ministry of Health",
"11915,43040,2214,Ministry of Education",
"11915,42948,7380,Ministry of Education",
"11915,43101,2460,Ministry of Education",
"11915,43221,492,Ministry of Education",
"11923,42887,120,Ministry of Education",
"11923,43070,1200,Ministry of Education",
"11929,43040,948,Ministry of Education",
"11929,42917,1264,Ministry of Education",
"11929,42979,948,Ministry of Education",
"11929,43132,1896,Ministry of Education",
"11929,42948,1422,Ministry of Education",
"11929,43101,1896,Ministry of Education",
"11929,43221,4740,Ministry of Education",
"11956,43009,600,Ministry of Health",
"11959,42887,402,Ministry of Health",
"11959,43070,603,Ministry of Health",
"11959,42979,402,Ministry of Health",
"11959,42948,201,Ministry of Health",
"11960,42887,36,Ministry of Health",
"11960,43070,96,Ministry of Health",
"11961,42887,108,Ministry of Health",
"11961,43070,72,Ministry of Health",
"11963,43009,400,Ministry of Health",
"11998,42826,180,Ministry of Health",
"11998,43191,40,Ministry of Health",
"12002,43132,1485,Ministry of Energy",
"12008,43040,65,Ministry of Energy",
"12008,43132,78,Ministry of Energy",
"12008,43221,26,Ministry of Energy",
"12009,42826,200,Ministry of Energy",
"12009,43009,150,Ministry of Energy",
"12009,43191,175,Ministry of Energy",
"12010,42917,456,Ministry of Energy",
"12010,43101,456,Ministry of Energy",
"12022,42917,207,Ministry of Education",
"12022,43101,207,Ministry of Education",
"12037,42948,330,Ministry of Education",
"12037,42979,495,Ministry of Education",
"12053,43040,1215,Ministry of Education",
"12053,43132,90,Ministry of Education",
"12053,43160,810,Ministry of Education",
"12053,43221,675,Ministry of Education",
"12053,42856,270,Ministry of Education",
"12083,43040,4692,Ministry of Education",
"12083,42917,4692,Ministry of Education",
"12083,42948,6256,Ministry of Education",
"12083,9/1/2017000,4692,Ministry of Education",
"12083,43101,2346,Ministry of Education",
"12083,43132,3519,Ministry of Education",
"12083,43221,3128,Ministry of Education",
"12084,43040,30,Ministry of Energy",
"12084,43132,150,Ministry of Energy",
"12084,43221,210,Ministry of Energy",
"12087,42917,1500,Ministry of Energy",
"12087,43101,2000,Ministry of Energy",
"12105,42826,540,Ministry of Energy",
"12105,43070,378,Ministry of Energy",
"12105,43191,405,Ministry of Energy",
"12105,42856,162,Ministry of Energy",
"12107,43040,31665,Ministry of Energy",
"12107,42917,4222,Ministry of Energy",
"12107,42948,42220,Ministry of Energy",
"12107,42979,33776,Ministry of Energy",
"12107,43101,12666,Ministry of Energy",
"12107,43132,6333,Ministry of Energy",
"12107,43221,4222,Ministry of Energy",
"12145,42917,252,Ministry of Education",
"12150,43040,1002,Ministry of Health",
"12150,42917,334,Ministry of Health",
"12150,42979,5010,Ministry of Health",
"12150,43132,4008,Ministry of Health",
"12150,42948,2004,Ministry of Health",
"12150,43101,167,Ministry of Health",
"12150,43221,1503,Ministry of Health",
"12152,42887,540,Ministry of Education",
"12152,43070,1260,Ministry of Education",
"12176,43009,250,Ministry of Housing",
"12181,42826,60,Ministry of Health",
"12181,43009,24,Ministry of Health",
"12181,43191,40,Ministry of Health",
"12193,42826,90,Ministry of Health",
"12193,43009,900,Ministry of Health",
"12193,43191,1440,Ministry of Health",
"12214,43040,2000,Ministry of Health",
"12214,43132,500,Ministry of Health",
"12214,43221,1500,Ministry of Health",
"12215,43040,98,Ministry of Education",
"12215,42917,35,Ministry of Education",
"12215,42979,126,Ministry of Education",
"12215,43132,210,Ministry of Education",
"12215,42948,56,Ministry of Education",
"12215,43101,168,Ministry of Education",
"12215,43221,210,Ministry of Education",
"12216,42826,81,Ministry of Education",
"12216,42887,81,Ministry of Education",
"12216,43009,324,Ministry of Education",
"12216,43070,162,Ministry of Education",
"12216,43191,405,Ministry of Education",
"12216,43160,81,Ministry of Education",
"12216,42856,486,Ministry of Education",
"12229,42887,400,Ministry of Health",
"12229,43070,600,Ministry of Health",
"12230,42887,54,Ministry of Education",
"12230,43009,15,Ministry of Education",
"12230,43160,18,Ministry of Education",
"12255,42887,270,Ministry of Energy",
"12255,43009,450,Ministry of Energy",
"12255,43160,90,Ministry of Energy",
"12256,42826,766,Ministry of Energy",
"12256,42856,766,Ministry of Energy",
"12256,43070,383,Ministry of Energy",
"12256,43191,11490,Ministry of Energy",
"12257,43040,548,Ministry of Energy",
"12257,43101,1096,Ministry of Energy",
